username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
vagnerresearch,"Trader, Entrepreneur, Investor. #Zinc, #Copper, #Gold and #Crypto.
Trading notes and research at https://t.co/yD9W6wNLnF",,752,249,4218,2019-12-28 10:40:14,2020-07-06 03:04:02,0,Tesla is the world's top carmaker on the back of a tech boost and huge Chinese sales https://t.co/Lf9x4KOpWN #electriccars #tesla https://t.co/pr7nAKcWXB,"[{'text': 'electriccars', 'indices': [109, 122]}, {'text': 'tesla', 'indices': [123, 129]}]"
prasenjit_dbroy,#Petrolhead #Speed #Orange #Entrepreneur #Technology #Innovation https://t.co/vUVBNmesHc…,Pune . Mumbai ,1061,492,19409,2010-01-08 02:17:09,2020-07-06 03:03:32,803,I want to thank @elonmusk for the shorts. He is a man of his word!  They did come with some manufacturing defects. #tesla https://t.co/qsYfO8cbkp,"[{'text': 'tesla', 'indices': [129, 135]}]"
jimmywvu,"WVU mechanical and Aerospace Engineering, Formula SAE, Junior",,573,325,29464,2013-12-11 17:19:38,2020-07-06 03:02:32,14,Hilden #supercharger . #future The biggest chargingstation of Europe. Compliments #fastned #tesla https://t.co/eBlUFIDeHP,"[{'text': 'supercharger', 'indices': [28, 41]}, {'text': 'future', 'indices': [44, 51]}, {'text': 'fastned', 'indices': [103, 111]}, {'text': 'tesla', 'indices': [112, 118]}]"
kimpaquette,Professional Wanderluster | Tesla Performance Model 3 owner 😎⚡️🚗🔌🔋,"Newport, RI",1253,4280,26107,2011-02-28 02:21:48,2020-07-06 03:01:08,0,Beautiful drive from the Flagstaff #supercharger - and look at that consumption!!! 🤓 #tesla #model3 #roadtrip https://t.co/ZhGUPQDk9y,"[{'text': 'supercharger', 'indices': [35, 48]}, {'text': 'tesla', 'indices': [85, 91]}, {'text': 'model3', 'indices': [92, 99]}, {'text': 'roadtrip', 'indices': [100, 109]}]"
AndersStromgren,Djurgår´n har gällt sen födseln. Piratpartiet är det enda parti som värnar privatliv. Vill ha en @tesla Model X Performance FSD  7-sitsig,Sverige,350,269,83442,2010-10-09 18:58:32,2020-07-06 03:00:43,6,"Did I just buy #tesla short shorts. - Yes.

Am I going to wear them. - Also Yes.

Do I care who sees. - No.

Do I love how they were $69.420. - Of course.

Next I need some Teslaquila to drink while wearing these short shorts on these summer days. @elonmusk any update? ☀️🩳🍹 https://t.co/atEN9nyP29","[{'text': 'tesla', 'indices': [35, 41]}]"
Shaw21C,"But remember the LORD your God, for it is he who gives you the ability to produce wealth, and so confirms his covenant. Deuteronomy 8:18",,98,38,430,2019-03-01 01:31:11,2020-07-06 03:00:40,3,"$TSLA has been on a crazy run the last 2 months, capped off with 2Q delivery numbers last week, #Tesla looks a bit overextended to me. Likely won't try and short this beast though...lots of strength and hype right now https://t.co/21JPd0kNit","[{'text': 'Tesla', 'indices': [116, 122]}]"
German_Dictator,German,Lutherstadt Wittenberg,1,833,34985,2013-06-28 06:12:39,2020-07-06 03:00:34,0,https://t.co/RJCWkdNYQF Corona #vaccine production #Tesla plans to build mini factories in Germany for Curevac Our Hashtag #topenews #corona,"[{'text': 'vaccine', 'indices': [31, 39]}, {'text': 'Tesla', 'indices': [51, 57]}, {'text': 'topenews', 'indices': [123, 132]}, {'text': 'corona', 'indices': [133, 140]}]"
AdeParimal,An Investor & Author - 108 Questions & Answers on Mutual Funds & SIP,Pune,3,1467,528,2019-10-14 03:03:28,2020-07-06 03:00:00,1,"It sold almost 400,000 vehicles last year, versus Toyota's 10.7 million, and is not yet profitable consistently enough to be in the S&amp;P 500. #Tesla @elonmusk","[{'text': 'Tesla', 'indices': [145, 151]}]"
AdeParimal,An Investor & Author - 108 Questions & Answers on Mutual Funds & SIP,Pune,3,1467,528,2019-10-14 03:03:28,2020-07-06 03:00:00,1,Despite founder Elon Musk's tweet that its share price was too high — which helped wipe $14 billion off Tesla's value in May — mounting investor interest in electric vehicles has driven a nearly five-fold market growth in capitalization over the past year. #Tesla @elonmusk,"[{'text': 'Tesla', 'indices': [257, 263]}]"
AdeParimal,An Investor & Author - 108 Questions & Answers on Mutual Funds & SIP,Pune,3,1467,528,2019-10-14 03:03:28,2020-07-06 02:59:59,1,"Tesla has overtaken Toyota to become the most valuable carmaker in the world and announced Thursday that it had delivered 90,650 vehicles in the second quarter of the year, beating analyst expectations. #Tesla @elonmusk","[{'text': 'Tesla', 'indices': [203, 209]}]"
kimpaquette,Professional Wanderluster | Tesla Performance Model 3 owner 😎⚡️🚗🔌🔋,"Newport, RI",1253,4280,26107,2011-02-28 02:21:48,2020-07-06 02:57:34,0,"Today was what #roadtrips are all about! I had no plan, wasn’t sure where I would stay. Started towards Monument Valley but it’s closed due to Covid. Did the route 163 scenic byway to Page, AZ #supercharger, and while there decided to head to Sedona! #tesla #model3 https://t.co/2StFcA9eke","[{'text': 'roadtrips', 'indices': [15, 25]}, {'text': 'supercharger', 'indices': [193, 206]}, {'text': 'tesla', 'indices': [251, 257]}, {'text': 'model3', 'indices': [258, 265]}]"
FUDlife420,"I tweet reviews and testimonials about Tesla. See #TeslaServiceIssues and #TeslaQualityIssues. False positive Covid-19 test survivor.

Parody.","Fremont, CA",126,501,11046,2019-11-06 16:45:19,2020-07-06 02:55:00,3,Hey @Tesla: SHITTY service for your #Tesla customers in need in Germany: 45 minutes to get someone on the phone 😬. #Fail,"[{'text': 'Tesla', 'indices': [53, 59]}, {'text': 'Fail', 'indices': [132, 137]}]"
BTstocktrading,Finance/Real Estate Student and Options Trader | $250 account challenge to $40k in 2 weeks | Trading supply and demand zones + divergences |,,58,1268,1220,2019-04-27 16:44:12,2020-07-06 02:52:27,3,"$TSLA has been on a crazy run the last 2 months, capped off with 2Q delivery numbers last week, #Tesla looks a bit overextended to me. Likely won't try and short this beast though...lots of strength and hype right now https://t.co/21JPd0kNit","[{'text': 'Tesla', 'indices': [96, 102]}]"
pravinosaur,THERE'S SO MUCH TO LEARN AND SO LITTLE TIME 🪐🌍🔭🐋🏍️🏎️🛩️🚀🔧,,140,16,536,2020-05-14 18:44:42,2020-07-06 02:51:57,0,"@elonmusk I request you do the right thing. People are dying out there. Stop downplaying Covid. Ask your followers to take all possible precautions. You can literally save thousands of lives.

https://t.co/HF6OZQh0Om

#COVID19 #covid #ElonMusk #elon #coronavirus #tesla #spacex","[{'text': 'COVID19', 'indices': [218, 226]}, {'text': 'covid', 'indices': [227, 233]}, {'text': 'ElonMusk', 'indices': [234, 243]}, {'text': 'elon', 'indices': [244, 249]}, {'text': 'coronavirus', 'indices': [250, 262]}, {'text': 'tesla', 'indices': [263, 269]}, {'text': 'spacex', 'indices': [270, 277]}]"
nickhillmishra,Responses are greater than reactions !,,66,12,48,2012-08-15 08:14:33,2020-07-06 02:50:52,0,"Y'all know this pun ,right ?#ElonMask
@elonmusk 
@BoredElonMusk 
#ElonMusk  #SpaceX #Tesla #COVID19India  #mondaythoughts https://t.co/iHntm2LXzY","[{'text': 'ElonMask', 'indices': [28, 37]}, {'text': 'ElonMusk', 'indices': [65, 74]}, {'text': 'SpaceX', 'indices': [76, 83]}, {'text': 'Tesla', 'indices': [84, 90]}, {'text': 'COVID19India', 'indices': [91, 104]}, {'text': 'mondaythoughts', 'indices': [106, 121]}]"
c_labrinos,,,8,324,52542,2020-05-01 16:59:07,2020-07-06 02:48:20,1,"$TSLA - sell a car for around $50k, take a modest loss on each car, BUT each car sale adds $2,000,000 to market cap!!! Elon has figured out how to (i) defy gravity, or (ii) pull off the greatest con-job in history!!

But #Tesla is just a side show to $QQQ and $SPY

 #SEC  $ES",[]
andrijhon3,#TRON #TRON #TRON #TRON,Jakarta,181,25,317,2016-05-03 08:54:45,2020-07-06 02:46:32,17,"Family car goes 0-60 in 2.3 seconds

$3m Bugatti Chiron goes 0-60 in 2.3 seconds

Let that sink in for a sec.

#Tesla #Bugatti #ModelS #EV #ElonMusk @elonmusk @Tesla https://t.co/iMySjhZZVa","[{'text': 'Tesla', 'indices': [130, 136]}]"
JayBeans4,Retail Investing - Consumer Advocate for Truth in Financial Disclosure and Risks. Working to Uncover Market Manipulation and Potentially Deceitful Products.,"Summit, New Jersey",30,85,1930,2019-03-07 21:35:06,2020-07-06 02:46:03,1,"$TSLA - sell a car for around $50k, take a modest loss on each car, BUT each car sale adds $2,000,000 to market cap!!! Elon has figured out how to (i) defy gravity, or (ii) pull off the greatest con-job in history!!

But #Tesla is just a side show to $QQQ and $SPY

 #SEC  $ES","[{'text': 'Tesla', 'indices': [221, 227]}, {'text': 'SEC', 'indices': [267, 271]}]"
WholeMarsBlog,part 24 hour EV news channel / part shitty stand up comedy routine,"San Francisco, California",1960,5561,16912,2020-05-21 15:26:16,2020-07-06 02:45:55,1,I wear🔥S3XY🔥 short shorts! 😂🤣 #Tesla #TSLA https://t.co/HDPlVGjnL9,"[{'text': 'Tesla', 'indices': [49, 55]}, {'text': 'TSLA', 'indices': [56, 61]}]"
ericvandiest,Free 2 hour mix for you to lose your shit to! hmu if you like. will be putting together new mixes all the time.,"Santa Rosa, CA",1076,184,2948,2009-08-02 06:29:15,2020-07-06 02:44:20,0,@elonmusk By pointing out how the rich exploit the system and allow #Tesla @Tesla gets to use tax breaks/money to make billions off tax money (not payed by corps). What a dick!  Or is that Elon?,"[{'text': 'Tesla', 'indices': [68, 74]}]"
jasonmudd9,"Trusted advisor and strategist for some of America’s most admired and growth brands. @PRWeekUS Rising Star, @AxiaPR #PRAgency CEO; investor; M&A opportunist",United States,742,1409,8010,2009-01-05 16:58:14,2020-07-06 02:42:38,0,"How Electric Cars Take Over The US Market, With A Big Push From Tesla #tesla https://t.co/DWxKgMqSNS","[{'text': 'tesla', 'indices': [70, 76]}]"
CodingMark,Tesla owner & enthusiast 🌱⚡🔋🌎,"Bay Area, CA, USA",6297,6177,51353,2018-01-15 04:12:45,2020-07-06 02:42:12,6,"Did I just buy #tesla short shorts. - Yes.

Am I going to wear them. - Also Yes.

Do I care who sees. - No.

Do I love how they were $69.420. - Of course.

Next I need some Teslaquila to drink while wearing these short shorts on these summer days. @elonmusk any update? ☀️🩳🍹 https://t.co/atEN9nyP29","[{'text': 'tesla', 'indices': [35, 41]}]"
rocobasilisk,Tech and future,,716,696,187492,2018-05-13 00:18:52,2020-07-06 02:40:03,3,"This happens a lot in China 🇨🇳. Luckily no one was hurt.

#Tesla #TeslaChina https://t.co/qnUVxDdHch","[{'text': 'Tesla', 'indices': [77, 83]}, {'text': 'TeslaChina', 'indices': [84, 95]}]"
TheRemiel,"Jesus Bless You 😇
 i just wanna share something interesting!
Tech 
Unboxing
Tech ideas and thoughts!",,27,0,51,2020-05-13 05:25:06,2020-07-06 02:39:02,0,"We know #Cybertruck from #Tesla what if they build a military tanks or military vehicles and armours? 
#technology #techthought #tech","[{'text': 'Cybertruck', 'indices': [8, 19]}, {'text': 'Tesla', 'indices': [25, 31]}, {'text': 'technology', 'indices': [103, 114]}, {'text': 'techthought', 'indices': [115, 127]}, {'text': 'tech', 'indices': [128, 133]}]"
srvshboyapati,,INDIA,425,100,479,2010-06-02 19:31:30,2020-07-06 02:38:13,10,"Elon promises and delivers. Get them now while they’re short!
#Tesla #LikeTesla #ModelS #ModelX #ModelY #Model3 #Cybertruck 
https://t.co/A9rSCgigGr https://t.co/EwAYxlXToR","[{'text': 'Tesla', 'indices': [80, 86]}, {'text': 'LikeTesla', 'indices': [87, 97]}, {'text': 'ModelS', 'indices': [98, 105]}, {'text': 'ModelX', 'indices': [106, 113]}, {'text': 'ModelY', 'indices': [114, 121]}, {'text': 'Model3', 'indices': [122, 129]}]"
ennomnom,App Business - Developer & Marketing,,9640,4920,89484,2015-11-15 18:39:00,2020-07-06 02:37:41,5,"Kanye West For President
#kanye #kanyewest #kanyeforpresident #Kanye2020 #trending #trendingnow #TrendingNews #kimkardashian #Tesla #elonmusk #elon2020 #writingcommunity #trend #President https://t.co/c9UjwvCKqa","[{'text': 'kanye', 'indices': [39, 45]}, {'text': 'kanyewest', 'indices': [46, 56]}, {'text': 'kanyeforpresident', 'indices': [57, 75]}, {'text': 'Kanye2020', 'indices': [76, 86]}, {'text': 'trending', 'indices': [87, 96]}, {'text': 'trendingnow', 'indices': [97, 109]}, {'text': 'TrendingNews', 'indices': [110, 123]}, {'text': 'kimkardashian', 'indices': [124, 138]}]"
kervcristo,‏‏‏‏‏‏‏‏‏‏‏‏‏لي وحدي ملكة الله قبل كل شيء ويكون أفضل,INTERNATIONAL,2797,3478,311812,2012-06-18 23:01:01,2020-07-06 02:35:08,741,First thoughts driving my new Tesla model Y. Review and discussion of what I learned at Tesla today and outlook for the stock. #tesla $tsla #teslamodelY #StockMarket #stock @elonmusk  https://t.co/Jc5E6n1VUN,[]
MelaynaLokosky,"Federally recognized #SiliconValley #VC #startup #whistleblower, who proved the $JNJ #medtech #tech bubble popped in 2008. #TheSociopathicBusinessModel",Scottsdale (born Pittsburgh),2519,5361,88870,2014-05-29 04:18:45,2020-07-06 02:34:49,0,"Accused of being linked to pedo wrangler Ghislaine Maxwell &amp; taking a child-bride, after denials, Elon Musk inconsistently launches  #Tesla #ShortShort merch modeled on a very, very, young girl.

Sexually inappropriately priced $69
#TheSociopathicBusinessModel #FraudFormula $TSLA https://t.co/PeXJ54KjFj https://t.co/XKINT1AU7L","[{'text': 'Tesla', 'indices': [137, 143]}, {'text': 'ShortShort', 'indices': [144, 155]}, {'text': 'TheSociopathicBusinessModel', 'indices': [236, 264]}, {'text': 'FraudFormula', 'indices': [265, 278]}]"
kervcristo,‏‏‏‏‏‏‏‏‏‏‏‏‏لي وحدي ملكة الله قبل كل شيء ويكون أفضل,INTERNATIONAL,2797,3478,311812,2012-06-18 23:01:01,2020-07-06 02:34:42,1261,"Cybertruck inside Petersen Automotive Museum.
#tesla #Cybertruck https://t.co/2XaZoM40Ve","[{'text': 'tesla', 'indices': [62, 68]}, {'text': 'Cybertruck', 'indices': [69, 80]}]"
jowipool,Knowledge is Power!,"Miami, FL",486,198,18160,2016-04-09 11:16:19,2020-07-06 02:28:16,10,"Elon promises and delivers. Get them now while they’re short!
#Tesla #LikeTesla #ModelS #ModelX #ModelY #Model3 #Cybertruck 
https://t.co/A9rSCgigGr https://t.co/EwAYxlXToR","[{'text': 'Tesla', 'indices': [80, 86]}, {'text': 'LikeTesla', 'indices': [87, 97]}, {'text': 'ModelS', 'indices': [98, 105]}, {'text': 'ModelX', 'indices': [106, 113]}, {'text': 'ModelY', 'indices': [114, 121]}, {'text': 'Model3', 'indices': [122, 129]}]"
itsjimmyh,Part Time Photographer | Full Time Software Engineer @MasterClass,"San Francisco, CA",75,35,104,2010-12-24 12:04:20,2020-07-06 02:27:44,0,Short Shorts #shortshorts #shorttheshort #tesla #stonks @elonmusk @Tesla $69.420 https://t.co/9d8MCrnFxt,"[{'text': 'shortshorts', 'indices': [13, 25]}, {'text': 'shorttheshort', 'indices': [26, 40]}, {'text': 'tesla', 'indices': [41, 47]}, {'text': 'stonks', 'indices': [48, 55]}]"
ednycinc44,"'E Pluribus Unum' United States of America. 'City that Never Sleeps' New York City. 
'Limitless' Universe.
Achieve Greatness! 
Positive Change! Optimism Rules!","New York, NY",5000,967,144229,2016-05-27 19:52:50,2020-07-06 02:23:07,12,"Between SpaceX and Tesla, Elon Musk's companies are now producing Face Masks, Hand Sanitizer, and Ventilators to help flatten the curve. We need more giants in the Auto Industry to take initiative like Tesla &amp; GM.

#covid19 #coronavirus #tesla

https://t.co/2VNRbOJkmw",[]
OuchYOMH,"Podcast about #HeavyMetal #ClassicRock & #80s w/Interviews, Games, & more. The #RadioShow feat #NewMetal #NewRock. 
Sponsored by @DirtbagClothing https://t.co/FjTN6lRwpv","District of Columbia, USA",825,1496,7123,2017-03-04 03:15:05,2020-07-06 02:19:48,0,"Let's have some fun. #MotleyCrue #DefLeppard are still touring next year, but let's say #Poison and #JoanJett back out. What two bands do U add to the show?

We pick #Tesla and #Kix  Tell us yours now. https://t.co/RAObi8t6Lx","[{'text': 'MotleyCrue', 'indices': [21, 32]}, {'text': 'DefLeppard', 'indices': [33, 44]}, {'text': 'Poison', 'indices': [88, 95]}, {'text': 'JoanJett', 'indices': [100, 109]}, {'text': 'Tesla', 'indices': [166, 172]}, {'text': 'Kix', 'indices': [177, 181]}]"
jasdeepkh,Consistency is more important than perfection!!!!,"Hoshiarpur,Punjab",35,861,44294,2016-06-07 15:22:06,2020-07-06 02:16:13,1261,"Cybertruck inside Petersen Automotive Museum.
#tesla #Cybertruck https://t.co/2XaZoM40Ve","[{'text': 'tesla', 'indices': [62, 68]}, {'text': 'Cybertruck', 'indices': [69, 80]}]"
AnilKollam,"Tech savvy, atheist and a teetotaller. Social, interactive and good friend to many.",8°53′9″ N  76°34′43″ E,9,480,14328,2009-09-13 05:59:10,2020-07-06 02:13:28,0,#Tesla launches short shorts for real and the internet goes crazy - Electrek https://t.co/KFKeIYgphh,"[{'text': 'Tesla', 'indices': [0, 6]}]"
DreamGu28661131,Dream Guy,,89,2,62,2020-07-02 08:16:39,2020-07-06 02:13:12,5,Tesla’s meteoric rise in the past year has left the other popular FAANG stocks and Microsoft way behind. #stocks #markets #economy #investing #financialservices #tesla #makemoney #faang #fang #microsoft #facebook #apple #amazon #alphabet #google #netflix https://t.co/VW2ivumTUd,"[{'text': 'stocks', 'indices': [124, 131]}]"
montana_skeptic,"Annoying Elon since 2016. 

I'm my own boss now, Elon, so you can phone me directly.

https://t.co/cVUoATr3TU",The Wild West,461,9102,6414,2019-12-07 16:38:43,2020-07-06 02:12:39,6,SEO Thread: Imbecile... or something else? This is a render from 2017. #Tesla $TSLAQ 1/10 https://t.co/nPHVV1wsE2,"[{'text': 'Tesla', 'indices': [87, 93]}]"
Stocktalk2020,Here to chew bubblegum and talk Stocks...and I'm all out if bubblegum..,,9,41,47,2020-06-01 03:47:04,2020-07-06 02:12:13,0,"When you realize the #Tesla Models spell out ""S3XY""

....clever...clever... $TSLA

https://t.co/1SsRq13Hjl","[{'text': 'Tesla', 'indices': [21, 27]}]"
TezLabSC,"I'm a bot 🤖 and I share info about superchargers from @TezLabApp.

⚡️ 🚨 🆕

@HappyFunCorp",,3,263,1230,2019-09-18 19:21:46,2020-07-06 02:11:55,0,"🚨 Problem Reported - Rancho Cucamonga #Supercharger

Charger won’t get above 50kw

View more in #TezLab App
#Tesla
#US_CA","[{'text': 'Supercharger', 'indices': [38, 51]}, {'text': 'TezLab', 'indices': [96, 103]}, {'text': 'Tesla', 'indices': [108, 114]}, {'text': 'US_CA', 'indices': [115, 121]}]"
MCarbon,"Driving a Model 3 across the USA. Audio Engineer/photographer/blogger.  Featured in electrek, cleantechnica, teslarati, insideevs. aka Arthur Driessen",,636,1135,1951,2018-11-08 17:10:19,2020-07-06 02:09:38,1,Evening drives down red dirt roads excite every one of my senses. #tesla #teslatravels https://t.co/cTF0enSOgE,"[{'text': 'tesla', 'indices': [66, 72]}, {'text': 'teslatravels', 'indices': [73, 86]}]"
maxxrpbtc,"Nothing said is financial advice.I am NOT a financial advisor, pro digital assets. Circa 2011 $BTC Hodler. PRO $btc $xrp $eth $ada $hbar $xlm & others","San Francisco, CA",606,993,42634,2018-12-07 18:58:39,2020-07-06 02:09:05,0,@elonmusk I know youre slightly busy with a few small projects you run.  😂But can you please run for President.  Bunch of clowns out there 😉👍🏻 #Tesla #bitcoin #president #USPRESIDENT  I know I know ....you’re probably held back by the stupid us “citizen rules”,"[{'text': 'Tesla', 'indices': [143, 149]}, {'text': 'bitcoin', 'indices': [150, 158]}, {'text': 'president', 'indices': [159, 169]}, {'text': 'USPRESIDENT', 'indices': [170, 182]}]"
akidesir,"Chef, air traveller, and gold hunter! Visit and Subscribe to my YouTube channel for amazing cooking and Tesla videos!  My Tesla code https://t.co/islCUT8WG4","Toronto, Ontario",700,616,13085,2009-02-10 14:36:59,2020-07-06 02:08:02,4,"Tesla software 2020.24.6.4 on a 2017 Tesla Model X with MCU1 and HW3. The limits of MCU1 are becoming apparent.

https://t.co/g4FfIIA0NS

#teslamodelx #ModelX #tesla

@tesla_talks @trevlan006 @MFrunker",[]
Lindax,"SoCal beach'er, now in the gorgeous NW woods, gamer, mom, eco freak, coffee junky, knitter, and, sadly, a two cat person. proud progressive. #resist",Puget Sound,515,296,17921,2007-03-22 19:34:07,2020-07-06 02:06:39,0,"in the remake, he'll be driving a #Tesla ... maybe that butt ugly truck. https://t.co/Wu03IWJTdl","[{'text': 'Tesla', 'indices': [34, 40]}]"
SarahRafeh,Owner of RAVA 🛍,"Los Angeles, CA",480,1258,13381,2012-12-20 17:30:52,2020-07-06 02:06:29,1,"@SarahRafeh - your excitement is refreshing. Congrats on your #tesla and welcome.

$tsla - watch the video below.

@elonmusk https://t.co/6CycVN4zPT","[{'text': 'tesla', 'indices': [75, 81]}]"
Ladas,"Managing Director @ONmarketing_io Tweets about data-driven growth, marketing, SEO, Social Media, Content Marketing, ecommerce & startups.","London, England",1074,4425,21091,2007-07-26 16:09:52,2020-07-06 02:06:15,0,"According to Ballon-Man, while they were purchasing the car, an online glitch must have occurred, due to which their order could not be placed even after clicking on `submit'. #elonmusk #tesla https://t.co/f1jszIEd5H","[{'text': 'elonmusk', 'indices': [176, 185]}, {'text': 'tesla', 'indices': [186, 192]}]"
maxxrpbtc,"Nothing said is financial advice.I am NOT a financial advisor, pro digital assets. Circa 2011 $BTC Hodler. PRO $btc $xrp $eth $ada $hbar $xlm & others","San Francisco, CA",606,993,42634,2018-12-07 18:58:39,2020-07-06 02:03:15,0,@elonmusk Perfect for my wife.  Thanks Elon for helping me see those nice booty cheeks in her favorite color. Red.  #love #tesla #bitcoin #xrp #eth,"[{'text': 'love', 'indices': [116, 121]}, {'text': 'tesla', 'indices': [122, 128]}, {'text': 'bitcoin', 'indices': [129, 137]}, {'text': 'xrp', 'indices': [138, 142]}, {'text': 'eth', 'indices': [143, 147]}]"
Squirrelbutterz,Just your friendly variety streamer here to have some fun! Stop by and say hi sometime 🙃👉🏻👈🏻 | Husband - @Call_Gill,"New York, USA",75,106,929,2019-09-06 01:29:14,2020-07-06 02:02:38,1,"Drinking till someone buys me the Tesla Short Shorts,  please father 
@elonmusk
 these are a must cop. #tesla #twitch #twitchtv #twitchstreamer #apex #legends #shorts #gamer #gamersriseup https://t.co/8UP3AwiELa","[{'text': 'tesla', 'indices': [103, 109]}, {'text': 'twitch', 'indices': [110, 117]}, {'text': 'twitchtv', 'indices': [118, 127]}, {'text': 'twitchstreamer', 'indices': [128, 143]}, {'text': 'apex', 'indices': [144, 149]}, {'text': 'legends', 'indices': [150, 158]}, {'text': 'shorts', 'indices': [159, 166]}, {'text': 'gamer', 'indices': [167, 173]}, {'text': 'gamersriseup', 'indices': [174, 187]}]"
gretafox23,"Here to engage,debate and hope to compromise and come together.",,86,4,145,2019-04-23 23:06:28,2020-07-06 02:02:23,0,@WSJ What about #Tesla ? I don’t think they had any “sweet financing deals” but ironically they didn’t suffer the same fate.  Because people saw value in a quality #American product.  Nice work @elonmusk .,"[{'text': 'Tesla', 'indices': [16, 22]}, {'text': 'American', 'indices': [164, 173]}]"
Squirrelbutterz,Just your friendly variety streamer here to have some fun! Stop by and say hi sometime 🙃👉🏻👈🏻 | Husband - @Call_Gill,"New York, USA",75,106,929,2019-09-06 01:29:14,2020-07-06 02:01:44,0,"Drinking till someone buys me the Tesla Short Shorts,  please father @elonmusk these are a must cop. #tesla #twitch #twitchtv #twitchstreamer #apex #legends #shorts #gamer #gamersriseup","[{'text': 'tesla', 'indices': [101, 107]}, {'text': 'twitch', 'indices': [108, 115]}, {'text': 'twitchtv', 'indices': [116, 125]}, {'text': 'twitchstreamer', 'indices': [126, 141]}, {'text': 'apex', 'indices': [142, 147]}, {'text': 'legends', 'indices': [148, 156]}, {'text': 'shorts', 'indices': [157, 164]}, {'text': 'gamer', 'indices': [165, 171]}, {'text': 'gamersriseup', 'indices': [172, 185]}]"
trevlan006,Father of Angelina Elizabeth Bianco Born Nov 27th 2006 Died Jun 26th 2011. YouTube channel https://t.co/VwYxBdsIsn,Mississauga,933,805,22418,2010-06-22 23:34:02,2020-07-06 02:01:01,4,"Tesla software 2020.24.6.4 on a 2017 Tesla Model X with MCU1 and HW3. The limits of MCU1 are becoming apparent.

https://t.co/g4FfIIA0NS

#teslamodelx #ModelX #tesla

@tesla_talks @trevlan006 @MFrunker",[]
MemesOfMars,Founder & Future Mars Entrepreneur! #Blockchain #Twitter'Jedi $TSLA 👨‍💻💰https://t.co/gnYR4jpoQu,Germany,1017,2553,28084,2008-07-23 17:37:10,2020-07-06 02:00:24,0,City Of Sydney Goes 100% Renewable https://t.co/8tLDuF6k44 #TeamElon $TSLA #Tesla,"[{'text': 'TeamElon', 'indices': [59, 68]}, {'text': 'Tesla', 'indices': [75, 81]}]"
ShopAIRstik,Founder of #AIRstik brand products #everydaycarry #minimalist products AIRSTIK® #sneakerhead #fanboi #vegetarian,"Texas, USA",341,80,257,2009-01-08 01:59:37,2020-07-06 01:59:09,0,@elonmusk @Tesla how about in dog mode I can access the in cabin camera to make sure my dog is ok/alive&amp; well:) #tesla #ideas #feedback,"[{'text': 'tesla', 'indices': [116, 122]}, {'text': 'ideas', 'indices': [123, 129]}, {'text': 'feedback', 'indices': [130, 139]}]"
ShopAIRstik,Founder of #AIRstik brand products #everydaycarry #minimalist products AIRSTIK® #sneakerhead #fanboi #vegetarian,"Texas, USA",341,80,257,2009-01-08 01:59:37,2020-07-06 01:59:08,0,@Tesla @elonmusk help me understand how dog mode works when says 66 up front but back of my MY it says 99deg how is any dog going to live through this?! #whatamidoingwrong #help #tesla #modelY #dogmode #doglovers #DogLover https://t.co/wGMcMgQTwj,"[{'text': 'whatamidoingwrong', 'indices': [153, 171]}, {'text': 'help', 'indices': [172, 177]}, {'text': 'tesla', 'indices': [178, 184]}, {'text': 'modelY', 'indices': [185, 192]}, {'text': 'dogmode', 'indices': [193, 201]}, {'text': 'doglovers', 'indices': [202, 212]}, {'text': 'DogLover', 'indices': [213, 222]}]"
carlosmanuelpe2,,san juan de la maguana rep.dom,1219,301,13551,2011-09-08 02:16:58,2020-07-06 01:54:54,1,Think the answer is nope as it’s only on the X and S but can you buy unlimited supercharging for a period of time on a model 3P ? @Model3Owners @Tesla @elonmusk  #Tesla @teslaownersSV https://t.co/aAHj7oINf3,[]
langdon,"MD, MPH. Hospital Medicine. AI + Public Health + Autonomous Vehicle Researcher. Tesla + SpaceX Enthusiast. P3D+. Faculty @UofT. Tweets my own.","Toronto, Ontario, Canada",458,558,11399,2008-04-04 05:09:34,2020-07-06 01:49:38,4,"Tesla software 2020.24.6.4 on a 2017 Tesla Model X with MCU1 and HW3. The limits of MCU1 are becoming apparent.

https://t.co/g4FfIIA0NS

#teslamodelx #ModelX #tesla

@tesla_talks @trevlan006 @MFrunker",[]
MFrunker,Everything Tesla / Technology Enthusiast / Youtuber / Musk Reply Count: 6 / Musk Retweet Count: 1 / Musk Like Count 1,In my Tesla,550,4527,11693,2018-10-16 22:53:40,2020-07-06 01:49:35,4,"Tesla software 2020.24.6.4 on a 2017 Tesla Model X with MCU1 and HW3. The limits of MCU1 are becoming apparent.

https://t.co/g4FfIIA0NS

#teslamodelx #ModelX #tesla

@tesla_talks @trevlan006 @MFrunker",[]
